Chromosome	Range	SNPs	SNP_density	Missing	percent_missing	Missing_density	gene_density
1_0	1000000	55	5.5e-05	1	0.0181818181818182	1e-06	0.231859
1_1	1000000	184	0.000184	6	0.0326086956521739	6e-06	0.672925
1_2	1000000	199	0.000199	1	0.0050251256281407	1e-06	0.599066
1_3	1000000	273	0.000273	2	0.00732600732600733	2e-06	0.762792
1_4	1000000	352	0.000352	1	0.00284090909090909	1e-06	0.15379
1_5	1000000	288	0.000288	1	0.00347222222222222	1e-06	0.077274
1_6	1000000	202	0.000202	2	0.0099009900990099	2e-06	0.857453
1_7	1000000	272	0.000272	5	0.0183823529411765	5e-06	0.930355
1_8	1000000	163	0.000163	3	0.0184049079754601	3e-06	0.551249
1_9	1000000	221	0.000221	5	0.0226244343891403	5e-06	0.55566
1_10	1000000	178	0.000178	1	0.00561797752808989	1e-06	0.753807
1_11	1000000	314	0.000314	9	0.0286624203821656	9e-06	0.535619
1_12	1000000	207	0.000207	1	0.00483091787439614	1e-06	0.630272
1_13	1000000	80	8e-05	0	0	0	0.202875
1_14	1000000	279	0.000279	3	0.010752688172043	3e-06	0.199628
1_15	1000000	283	0.000283	2	0.00706713780918728	2e-06	0.898763
1_16	1000000	163	0.000163	1	0.00613496932515337	1e-06	0.634953
1_17	1000000	266	0.000266	3	0.0112781954887218	3e-06	0.549345
1_18	1000000	345	0.000345	1	0.00289855072463768	1e-06	0.414801
1_19	1000000	230	0.00023	0	0	0	0.618838
1_20	1000000	363	0.000363	2	0.00550964187327824	2e-06	0.43957
1_21	1000000	310	0.00031	5	0.0161290322580645	5e-06	0.799331
1_22	1000000	242	0.000242	2	0.00826446280991736	2e-06	0.460602
1_23	1000000	150	0.00015	0	0	0	0.570289
1_24	1000000	198	0.000198	3	0.0151515151515152	3e-06	0.564983
1_25	1000000	231	0.000231	9	0.038961038961039	9e-06	0.471886
1_26	1000000	200	0.0002	4	0.02	4e-06	0.558234
1_27	1000000	116	0.000116	1	0.00862068965517241	1e-06	0.571859
1_28	1000000	102	0.000102	1	0.00980392156862745	1e-06	0.651474
1_29	1000000	132	0.000132	0	0	0	0.5264
1_30	1000000	282	0.000282	0	0	0	0
1_31	1000000	187	0.000187	0	0	0	0.433736
1_32	1000000	129	0.000129	2	0.0155038759689922	2e-06	0.506939
1_33	1000000	136	0.000136	2	0.0147058823529412	2e-06	0.574155
1_34	1000000	281	0.000281	3	0.0106761565836299	3e-06	0.684058
1_35	1000000	178	0.000178	0	0	0	0.427621
1_36	1000000	120	0.00012	0	0	0	0.628121
1_37	1000000	169	0.000169	1	0.00591715976331361	1e-06	0.29368
1_38	1000000	210	0.00021	1	0.00476190476190476	1e-06	0.385897
1_39	1000000	168	0.000168	1	0.00595238095238095	1e-06	0.569628
1_40	1000000	198	0.000198	1	0.00505050505050505	1e-06	0.483792
1_41	1000000	195	0.000195	1	0.00512820512820513	1e-06	0.519294
1_42	1000000	196	0.000196	2	0.0102040816326531	2e-06	0.742396
1_43	1000000	243	0.000243	2	0.00823045267489712	2e-06	0.540372
1_44	1000000	179	0.000179	2	0.0111731843575419	2e-06	0.744277
1_45	1000000	201	0.000201	2	0.00995024875621891	2e-06	0.796263
1_46	1000000	149	0.000149	2	0.0134228187919463	2e-06	0.699016
1_47	1000000	199	0.000199	6	0.0301507537688442	6e-06	0.509063
1_48	1000000	199	0.000199	0	0	0	0.522661
1_49	1000000	142	0.000142	0	0	0	1
1_50	1000000	81	8.1e-05	0	0	0	0.744484
1_51	1000000	75	7.5e-05	0	0	0	0.738785
