Chromosome	Range	SNPs	SNP_density	Missing	%_missing	Missing_density
1	248484530	46662	0.0187786338248099	335	0.72%	1.34817245966982e-06
2	243030086	46128	0.0189803660769803	259	0.56%	1.06571167489115e-06
3	197770347	38517	0.0194756193657283	227	0.59%	1.14779593322957e-06
4	190879715	33915	0.0177677339889155	227	0.67%	1.18923061049206e-06
5	180665210	34387	0.0190335482963211	243	0.71%	1.34502929479339e-06
6	170751960	40384	0.0236506802030267	791	1.96%	4.63245048548784e-06
7	159074285	33053	0.0207783426466446	307	0.93%	1.92991595090306e-06
8	146131430	30268	0.0207128610183312	166	0.55%	1.1359637006221e-06
9	141019904	26586	0.0188526578489232	164	0.62%	1.16295640082126e-06
10	135397176	29210	0.0215735666451418	174	0.6%	1.2851080439078e-06
11	134746503	29326	0.0217638301158732	219	0.75%	1.62527408967341e-06
12	133646734	28451	0.0212882119513673	191	0.67%	1.42914079740998e-06
13	96003437	21678	0.0225804415731491	147	0.68%	1.53119518002257e-06
14	88218743	18696	0.0211927753266673	131	0.7%	1.48494521169951e-06
15	82237259	18281	0.0222295833084612	131	0.72%	1.5929519246258e-06
16	90058175	19199	0.0213184422180441	187	0.97%	2.07643559288205e-06
17	81046319	18741	0.0231238139267004	230	1.23%	2.83788335902091e-06
18	78004031	16489	0.0211386511550922	86	0.52%	1.10250712556124e-06
19	58828102	13002	0.0221016819478555	220	1.69%	3.73970929743747e-06
20	62897048	14494	0.0230440067711922	86	0.59%	1.36731377281808e-06
21	37608867	8461	0.0224973541478928	51	0.6%	1.35606318584391e-06
22	35156270	9098	0.0258787408334274	97	1.07%	2.75910954148435e-06
MT	16544	5075	30.6757736943907	215	4.24%	0.0129956479690522
X	155054474	19478	0.0125620367458729	311	1.6%	2.00574670292971e-06
Y	56383115	2302	0.00408278258482172	1000	43.44%	1.77358061894949e-05
