#Chromsome	bin_size	overlap	scaled_overlap	average_overlap	average_scaled_overlap
1	1000000	241576	0.241576	414858.84	0.41485884
2	1000000	804258	0.804258	414858.84	0.41485884
3	1000000	0	0	414858.84	0.41485884
4	1000000	0	0	414858.84	0.41485884
5	1000000	84740	0.08474	414858.84	0.41485884
6	1000000	0	0	414858.84	0.41485884
7	1000000	869129	0.869129	414858.84	0.41485884
8	1000000	735247	0.735247	414858.84	0.41485884
9	1000000	823204	0.823204	414858.84	0.41485884
10	1000000	465253	0.465253	414858.84	0.41485884
11	1000000	0	0	414858.84	0.41485884
12	1000000	148105	0.148105	414858.84	0.41485884
13	1000000	928116	0.928116	414858.84	0.41485884
14	1000000	607782	0.607782	414858.84	0.41485884
15	1000000	511350	0.51135	414858.84	0.41485884
16	1000000	721259	0.721259	414858.84	0.41485884
17	1000000	804790	0.80479	414858.84	0.41485884
18	1000000	931885	0.931885	414858.84	0.41485884
19	1000000	0	0	414858.84	0.41485884
20	1000000	0	0	414858.84	0.41485884
21	1000000	56959	0.056959	414858.84	0.41485884
22	1000000	672421	0.672421	414858.84	0.41485884
X	1000000	880827	0.880827	414858.84	0.41485884
Y	1000000	84570	0.08457	414858.84	0.41485884
MT	1000000	0	0	414858.84	0.41485884
1	1000001	241949	0.241948758051242	414979.92	0.414979505020495
2	1000001	804623	0.804622195377805	414979.92	0.414979505020495
3	1000001	0	0	414979.92	0.414979505020495
4	1000001	0	0	414979.92	0.414979505020495
5	1000001	84921	0.0849209150790849	414979.92	0.414979505020495
6	1000001	0	0	414979.92	0.414979505020495
7	1000001	869369	0.869368130631869	414979.92	0.414979505020495
8	1000001	735467	0.735466264533735	414979.92	0.414979505020495
9	1000001	823416	0.823415176584823	414979.92	0.414979505020495
10	1000001	465389	0.465388534611465	414979.92	0.414979505020495
11	1000001	0	0	414979.92	0.414979505020495
12	1000001	148239	0.148238851761148	414979.92	0.414979505020495
13	1000001	928261	0.928260071739928	414979.92	0.414979505020495
14	1000001	607915	0.607914392085608	414979.92	0.414979505020495
15	1000001	511474	0.511473488526511	414979.92	0.414979505020495
16	1000001	721395	0.721394278605721	414979.92	0.414979505020495
17	1000001	804872	0.804871195128805	414979.92	0.414979505020495
18	1000001	932003	0.932002067997932	414979.92	0.414979505020495
19	1000001	0	0	414979.92	0.414979505020495
20	1000001	0	0	414979.92	0.414979505020495
21	1000001	57016	0.057015942984057	414979.92	0.414979505020495
22	1000001	672474	0.672473327526672	414979.92	0.414979505020495
X	1000001	881060	0.881059118940881	414979.92	0.414979505020495
Y	1000001	84655	0.0846549153450847	414979.92	0.414979505020495
MT	1000001	0	0	414979.92	0.414979505020495
1	1000002	242322	0.242321515356969	415101.08	0.4151002497995
2	1000002	804989	0.80498739002522	415101.08	0.4151002497995
3	1000002	0	0	415101.08	0.4151002497995
4	1000002	0	0	415101.08	0.4151002497995
5	1000002	85102	0.0851018297963404	415101.08	0.4151002497995
6	1000002	0	0	415101.08	0.4151002497995
7	1000002	869608	0.869606260787478	415101.08	0.4151002497995
8	1000002	735687	0.735685528628943	415101.08	0.4151002497995
9	1000002	823629	0.823627352745295	415101.08	0.4151002497995
10	1000002	465525	0.465524068951862	415101.08	0.4151002497995
11	1000002	0	0	415101.08	0.4151002497995
12	1000002	148373	0.148372703254593	415101.08	0.4151002497995
13	1000002	928406	0.928404143191714	415101.08	0.4151002497995
14	1000002	608048	0.608046783906432	415101.08	0.4151002497995
15	1000002	511598	0.511596976806046	415101.08	0.4151002497995
16	1000002	721531	0.721529556940886	415101.08	0.4151002497995
17	1000002	804954	0.80495239009522	415101.08	0.4151002497995
18	1000002	932121	0.932119135761728	415101.08	0.4151002497995
19	1000002	0	0	415101.08	0.4151002497995
20	1000002	0	0	415101.08	0.4151002497995
21	1000002	57072	0.0570718858562283	415101.08	0.4151002497995
22	1000002	672528	0.67252665494669	415101.08	0.4151002497995
X	1000002	881294	0.881292237415525	415101.08	0.4151002497995
Y	1000002	84740	0.084739830520339	415101.08	0.4151002497995
MT	1000002	0	0	415101.08	0.4151002497995
1	1163218	52945	0.0455159737899517	352356.2	0.30291501678963
2	1163218	0	0	352356.2	0.30291501678963
3	1163218	939615	0.807772059923419	352356.2	0.30291501678963
4	1163218	780662	0.671122695831736	352356.2	0.30291501678963
5	1163218	546748	0.47003055317232	352356.2	0.30291501678963
6	1163218	0	0	352356.2	0.30291501678963
7	1163218	222203	0.19102438235997	352356.2	0.30291501678963
8	1163218	201446	0.173179919843056	352356.2	0.30291501678963
9	1163218	699165	0.6010610220956	352356.2	0.30291501678963
10	1163218	561759	0.482935270946633	352356.2	0.30291501678963
11	1163218	0	0	352356.2	0.30291501678963
12	1163218	0	0	352356.2	0.30291501678963
13	1163218	167148	0.14369447515427	352356.2	0.30291501678963
14	1163218	0	0	352356.2	0.30291501678963
15	1163218	0	0	352356.2	0.30291501678963
16	1163218	376251	0.323456996023101	352356.2	0.30291501678963
17	1163218	230050	0.197770323361571	352356.2	0.30291501678963
18	1163218	1021576	0.878232627074203	352356.2	0.30291501678963
19	1163218	195135	0.167754453593393	352356.2	0.30291501678963
20	1163218	973076	0.836537949034489	352356.2	0.30291501678963
21	1163218	554641	0.476816039641752	352356.2	0.30291501678963
22	1163218	680449	0.584971174792687	352356.2	0.30291501678963
X	1163218	606036	0.5209995031026	352356.2	0.30291501678963
Y	1163218	0	0	352356.2	0.30291501678963
MT	1163218	0	0	352356.2	0.30291501678963
1	10000000	749379	0.0749379	4339830.32	0.433983032
2	10000000	6800627	0.6800627	4339830.32	0.433983032
3	10000000	1977570	0.197757	4339830.32	0.433983032
4	10000000	8845724	0.8845724	4339830.32	0.433983032
5	10000000	9084740	0.908474	4339830.32	0.433983032
6	10000000	8884933	0.8884933	4339830.32	0.433983032
7	10000000	861337	0.0861337	4339830.32	0.433983032
8	10000000	3635978	0.3635978	4339830.32	0.433983032
9	10000000	8786569	0.8786569	4339830.32	0.433983032
10	10000000	4465253	0.4465253	4339830.32	0.433983032
11	10000000	4993484	0.4993484	4339830.32	0.433983032
12	10000000	6148105	0.6148105	4339830.32	0.433983032
13	10000000	928116	0.0928116	4339830.32	0.433983032
14	10000000	0	0	4339830.32	0.433983032
15	10000000	6511350	0.651135	4339830.32	0.433983032
16	10000000	9721259	0.9721259	4339830.32	0.433983032
17	10000000	8804790	0.880479	4339830.32	0.433983032
18	10000000	1922752	0.1922752	4339830.32	0.433983032
19	10000000	871017	0.0871017	4339830.32	0.433983032
20	10000000	6974480	0.697448	4339830.32	0.433983032
21	10000000	0	0	4339830.32	0.433983032
22	10000000	2172421	0.2172421	4339830.32	0.433983032
X	10000000	4729440	0.472944	4339830.32	0.433983032
Y	10000000	626434	0.0626434	4339830.32	0.433983032
MT	10000000	0	0	4339830.32	0.433983032
1	1000000	241576	0.241576	414858.84	0.41485884
2	1000000	804258	0.804258	414858.84	0.41485884
3	1000000	0	0	414858.84	0.41485884
4	1000000	0	0	414858.84	0.41485884
5	1000000	84740	0.08474	414858.84	0.41485884
6	1000000	0	0	414858.84	0.41485884
7	1000000	869129	0.869129	414858.84	0.41485884
8	1000000	735247	0.735247	414858.84	0.41485884
9	1000000	823204	0.823204	414858.84	0.41485884
10	1000000	465253	0.465253	414858.84	0.41485884
11	1000000	0	0	414858.84	0.41485884
12	1000000	148105	0.148105	414858.84	0.41485884
13	1000000	928116	0.928116	414858.84	0.41485884
14	1000000	607782	0.607782	414858.84	0.41485884
15	1000000	511350	0.51135	414858.84	0.41485884
16	1000000	721259	0.721259	414858.84	0.41485884
17	1000000	804790	0.80479	414858.84	0.41485884
18	1000000	931885	0.931885	414858.84	0.41485884
19	1000000	0	0	414858.84	0.41485884
20	1000000	0	0	414858.84	0.41485884
21	1000000	56959	0.056959	414858.84	0.41485884
22	1000000	672421	0.672421	414858.84	0.41485884
