Chromosome	Range	SNPs	SNP_density	Missing	%_missing	Missing_density	Overall_gene_density	IG_C_gene	IG_C_pseudogene	IG_D_gene	IG_J_gene	IG_J_pseudogene	IG_V_gene	IG_V_pseudogene	IG_pseudogene	Mt_rRNA	Mt_tRNA	TEC	TR_C_gene	TR_D_gene	TR_J_gene	TR_J_pseudogene	TR_V_gene	TR_V_pseudogene	lncRNA	miRNA	misc_RNA	polymorphic_pseudogene	processed_pseudogene	protein_coding	pseudogene	rRNA	rRNA_pseudogene	ribozyme	sRNA	scRNA	scaRNA	snRNA	snoRNA	transcribed_processed_pseudogene	transcribed_unitary_pseudogene	transcribed_unprocessed_pseudogene	translated_processed_pseudogene	translated_unprocessed_pseudogene	unitary_pseudogene	unprocessed_pseudogene	vaultRNA
1	248484530	46662	0.000187786338248099	335	0.72%	1.34817245966982e-06	2.18363694512491e-05	0	0	0	0	0	0	4.02439540199947e-09	0	0	0	1.36829443667982e-07	0	0	0	0	0	0	5.65829993521126e-06	6.19756891907919e-07	7.72683917183899e-07	2.81707678139963e-08	3.54951674456353e-06	8.22988859708892e-06	2.01219770099974e-08	8.85366988439884e-08	1.93170979295975e-07	0	0	0	5.63415356279926e-08	8.77318197635885e-07	2.73658887335964e-07	1.5292702527598e-07	7.24391172359905e-08	2.65610096531965e-07	0	0	3.62195586179953e-08	8.00854684997895e-07	0
2	243030086	46128	0.000189803660769803	259	0.56%	1.06571167489115e-06	1.72653520766149e-05	4.11471689147162e-09	0	0	2.05735844573581e-08	0	1.89276977007694e-07	1.85162260116223e-07	0	0	0	2.13965278356524e-07	0	0	0	0	0	0	5.10636366231628e-06	4.73192442519236e-07	7.24190172899005e-07	1.64588675658865e-08	3.09426710238666e-06	5.13105196366511e-06	4.11471689147162e-09	8.22943378294324e-09	1.64588675658865e-07	0	0	4.11471689147162e-09	2.88030182403013e-08	6.46010551961044e-07	2.63341881054184e-07	9.46384885038472e-08	1.64588675658865e-08	2.18079995247996e-07	0	0	2.46883013488297e-08	6.33666401286629e-07	0
3	197770347	38517	0.000194756193657283	227	0.59%	1.14779593322957e-06	1.60034102584651e-05	0	0	0	0	0	0	0	0	0	0	1.31465613497659e-07	0	0	0	0	0	0	4.33330887567285e-06	4.75298756491538e-07	6.77553546487937e-07	1.51691092497299e-08	3.089441917195e-06	5.41537200215359e-06	0	5.05636974990998e-09	1.46634722747389e-07	0	5.05636974990998e-09	0	1.011273949982e-08	6.52271697738387e-07	2.83156705994959e-07	1.0618376474811e-07	9.10146554983796e-08	1.2640924374775e-07	0	0	3.03382184994599e-08	4.09565949742708e-07	0
4	190879715	33915	0.000177677339889155	227	0.67%	1.18923061049206e-06	1.38778497233192e-05	0	0	0	0	0	0	0	0	0	0	1.88600449241031e-07	0	0	0	0	0	0	4.13873208056707e-06	3.24811884803998e-07	5.44845742251868e-07	5.23890136780642e-09	2.9337847659716e-06	3.92917602585482e-06	5.23890136780642e-09	1.04778027356128e-08	1.20494731459548e-07	5.23890136780642e-09	0	0	5.23890136780642e-09	6.07712558665545e-07	1.57167041034193e-07	1.62405942401999e-07	2.61945068390321e-08	9.43002246205156e-08	0	0	0	6.18190361401158e-07	0
5	180665210	34387	0.000190335482963211	243	0.71%	1.34502929479339e-06	1.62455184371136e-05	0	0	0	0	0	0	0	0	0	0	3.92992098478728e-07	0	0	0	0	0	0	5.17531847996634e-06	3.98527198457301e-07	6.53141797471688e-07	0	3.29338448725131e-06	4.83214228129478e-06	0	5.53509997857363e-09	1.38377499464341e-07	0	0	0	0	5.53509997857363e-07	2.10333799185798e-07	8.30264996786044e-08	2.21403999142945e-08	1.43912599442914e-07	5.53509997857363e-09	0	2.76754998928681e-08	3.0443049882155e-07	5.53509997857363e-09
6	170751960	40384	0.000236506802030267	791	1.96%	4.63245048548784e-06	1.789730554191e-05	0	0	0	0	0	0	0	0	0	0	2.04975685198577e-07	0	0	0	0	0	0	4.83742617068642e-06	3.92382025951562e-07	6.14927055595731e-07	5.85644814853077e-09	3.70127522987145e-06	6.13170121151172e-06	0	5.85644814853077e-09	1.522676518618e-07	0	0	0	5.85644814853077e-09	6.26639951892792e-07	2.284014777927e-07	1.58124100010331e-07	2.92822407426538e-08	1.63980548158862e-07	0	0	2.34257925941231e-08	6.14927055595731e-07	0
7	159074285	33053	0.000207783426466446	307	0.93%	1.92991595090306e-06	1.89156908673203e-05	0	0	0	0	0	0	0	0	0	0	2.45168475847621e-07	2.51454847023201e-08	6.28637117558001e-09	1.1944105233602e-07	0	3.58323157008061e-07	1.0686830998486e-07	4.51361450406645e-06	4.90336951695241e-07	8.98951078107942e-07	6.28637117558001e-09	3.59580431243177e-06	5.75831599683129e-06	1.885911352674e-08	6.28637117558001e-09	1.5087290821392e-07	0	6.28637117558001e-09	0	0	5.28055178748721e-07	2.45168475847621e-07	9.42955676337002e-08	4.40045982290601e-08	5.34341549924301e-07	0	6.28637117558001e-09	6.28637117558001e-08	1.09382858455092e-06	0
8	146131430	30268	0.000207128610183312	166	0.55%	1.1359637006221e-06	1.69573376514553e-05	0	0	0	0	0	0	6.84315482302472e-09	0	0	0	2.05294644690742e-07	0	0	0	0	0	0	5.67981850311052e-06	6.02197624426176e-07	5.54295540665003e-07	1.36863096460494e-08	3.1820669927065e-06	4.67387474412589e-06	0	6.84315482302472e-09	1.91608335044692e-07	0	0	0	0	5.74825005134077e-07	2.25824109159816e-07	1.02647322345371e-07	4.79020837611731e-08	1.23176786814445e-07	0	0	2.05294644690742e-08	7.45903875709695e-07	0
9	141019904	26586	0.000188526578489232	164	0.62%	1.16295640082126e-06	1.64657607482132e-05	0	7.09119756598331e-09	0	0	0	0	2.83647902639332e-08	0	0	0	1.41823951319666e-07	0	0	0	0	7.09119756598331e-09	4.96383829618832e-08	3.92143225398877e-06	5.88569397976615e-07	6.80754966334398e-07	7.09119756598331e-09	3.19103890469249e-06	5.53113410146698e-06	7.09119756598331e-09	7.09119756598331e-09	1.276415561877e-07	1.41823951319666e-08	0	0	7.09119756598331e-09	4.60927841788915e-07	2.19827124545483e-07	1.77279939149583e-07	2.83647902639332e-08	3.40377483167199e-07	0	0	2.83647902639332e-08	8.93490893313897e-07	0
10	135397176	29210	0.000215735666451418	174	0.6%	1.2851080439078e-06	1.71938593460768e-05	0	0	0	0	0	0	7.38567841326321e-09	0	0	0	2.2895603081116e-07	0	0	0	0	0	0	5.12566081880467e-06	5.09611810515162e-07	6.57325378780426e-07	1.47713568265264e-08	3.11675629039708e-06	5.39154524168215e-06	7.38567841326321e-09	0	2.14184673984633e-07	1.47713568265264e-08	0	0	0	6.35168343540636e-07	1.99413317158107e-07	9.60138193724218e-08	4.43140704795793e-08	2.95427136530529e-07	0	0	1.47713568265264e-08	6.2039698671411e-07	0
